Cited,Cited-by,Score
A00-1043,C00-2140,1
A00-1043,P02-1057,1
A97-1011,W09-1118,0
A97-1011,A00-2017,0
A97-1011,C00-2099,1
A97-1011,W04-1505,0
A97-1011,P99-1033,2
A97-1011,W06-0202,1
A97-1011,P01-1006,0
A97-1011,E12-1072,2
C00-1072,C02-1130,0
C00-1072,C04-1077,0
C00-1072,C08-1021,0
C00-1072,C08-1124,0
C00-1072,D08-1080,0
C00-1072,D09-1032,0
C00-1072,E09-1062,0
C00-1072,I08-1016,0
C00-1072,J10-1003,0
C00-1072,J11-1001,0
C00-1072,P02-1058,0
C00-1072,P05-1026,0
C00-1072,P06-1015,0
C00-1072,P06-4007,0
C00-1072,P07-1070,0
C00-1072,P08-1090,0
C00-1072,P08-1092,0
C00-1072,P09-1023,0
C00-1072,P09-2030,0
C00-1072,P10-1094,0
C00-1072,P11-1155,0
C02-1025,C10-2104,2
C02-1025,P03-1028,2
C02-1025,P05-1045,1
C02-1025,P05-1051,2
C02-1025,P06-1089,3
C02-1025,P06-1141,4
H05-1079,C08-1028,0
H05-1079,C08-2001,1
H05-1079,D10-1074,2
H05-1079,J07-3004,0
H05-1079,N06-1005,2
H05-1079,N06-1006,4
H05-1079,N10-1146,1
H05-1079,P06-1051,1
H05-1079,P06-2105,3
H05-1079,P11-1059,0
H05-1079,P12-3013,3
H05-1079,Q13-1015,1
H05-1079,S12-1082,1
H05-1079,S12-1108,1
H05-1079,S13-1002,1
H05-1079,S13-1014,1
H05-1079,W06-1621,2
H05-1079,W08-2004,1
H05-1079,W11-0112,2
I05-2038,C10-1076,1
I05-2038,C10-1088,2
I05-2038,D09-1157,0
I05-2038,N10-1004,2
I05-2038,P06-1128,0
I05-2038,P06-4005,0
J02-3001,C04-1018,1
J02-3001,D08-1094,1
J02-3001,E03-1040,1
J02-3001,P04-1043,1
J02-3001,P07-1071,3
J96-1002,A00-1019,4
J96-1002,A00-2026,1
J96-1002,A00-2031,2
J96-1002,A97-1056,2
J96-1002,C00-1060,1
J96-1002,C00-1061,4
J96-1002,C00-1064,0
J96-1002,C00-2124,1
J96-1002,C02-1064,4
J96-1002,D07-1019,1
J96-1002,D07-1051,0
J96-1002,C10-3004,1
J96-1002,P05-1020,1
J96-1002,P10-1142,1
J96-1002,P98-2214,2
J96-1002,P99-1069,0
J96-1002,P02-1002,2
J96-1002,P05-1066,3
J96-1002,W00-0707,2
J96-1002,W02-0813,3
J96-1002,W96-0213,4
N03-1028,C04-1081,2
N03-1028,C08-1094,0
N03-1028,C08-1106,2
N03-1028,C08-1113,1
N03-1028,C10-1082,2
N03-1028,P03-1064,0
N03-1028,P10-1038,1
N03-1028,W05-0622,0
N03-1028,W06-1655,2
N03-1028,W10-2923,1
N04-4028,C04-1081,1
N04-4028,D07-1068,0
N04-4028,D08-1070,0
N04-4028,D10-1095,1
N04-4028,N06-1038,1
N04-4028,P08-1004,1
N04-4028,P09-1015,0
N04-4028,P10-1038,0
N04-4028,P11-1149,1
N06-1040,C08-5001,1
N06-1040,C10-1007,1
N06-1040,D08-1091,3
N06-1040,N07-1051,5
P01-1048,N03-2018,3
P01-1048,N04-1026,4
P01-1048,W01-1610,8
P01-1048,W03-0205,1
P01-1048,W03-0409,2
P02-1031,P03-1002,0
P02-1046,W04-2405,4
P02-1053,P06-2079,1
P02-1053,P07-1056,0
